  [VRAM] text.token_embedding.weight compartido con lm_head; no se puede mapear a RAM
MODEL heads=16 kv_heads=8 layers=48 shared_layers=0
LAYER 0 hd=256 window=1024 global=0
LAYER 1 hd=256 window=1024 global=0
LAYER 2 hd=256 window=1024 global=0
LAYER 3 hd=256 window=1024 global=0
LAYER 4 hd=256 window=1024 global=0
LAYER 5 hd=512 window=0 global=1
LAYER 6 hd=256 window=1024 global=0
LAYER 7 hd=256 window=1024 global=0
LAYER 8 hd=256 window=1024 global=0
LAYER 9 hd=256 window=1024 global=0
LAYER 10 hd=256 window=1024 global=0
LAYER 11 hd=512 window=0 global=1
LAYER 12 hd=256 window=1024 global=0
LAYER 13 hd=256 window=1024 global=0
LAYER 14 hd=256 window=1024 global=0
LAYER 15 hd=256 window=1024 global=0
LAYER 16 hd=256 window=1024 global=0
LAYER 17 hd=512 window=0 global=1
LAYER 18 hd=256 window=1024 global=0
LAYER 19 hd=256 window=1024 global=0
LAYER 20 hd=256 window=1024 global=0
LAYER 21 hd=256 window=1024 global=0
LAYER 22 hd=256 window=1024 global=0
LAYER 23 hd=512 window=0 global=1
LAYER 24 hd=256 window=1024 global=0
LAYER 25 hd=256 window=1024 global=0
LAYER 26 hd=256 window=1024 global=0
LAYER 27 hd=256 window=1024 global=0
LAYER 28 hd=256 window=1024 global=0
LAYER 29 hd=512 window=0 global=1
LAYER 30 hd=256 window=1024 global=0
LAYER 31 hd=256 window=1024 global=0
LAYER 32 hd=256 window=1024 global=0
LAYER 33 hd=256 window=1024 global=0
LAYER 34 hd=256 window=1024 global=0
LAYER 35 hd=512 window=0 global=1
LAYER 36 hd=256 window=1024 global=0
LAYER 37 hd=256 window=1024 global=0
LAYER 38 hd=256 window=1024 global=0
LAYER 39 hd=256 window=1024 global=0
LAYER 40 hd=256 window=1024 global=0
LAYER 41 hd=512 window=0 global=1
LAYER 42 hd=256 window=1024 global=0
LAYER 43 hd=256 window=1024 global=0
LAYER 44 hd=256 window=1024 global=0
LAYER 45 hd=256 window=1024 global=0
LAYER 46 hd=256 window=1024 global=0
LAYER 47 hd=512 window=0 global=1
PASS: 624 real layer/chunk prefill outputs bitwise identical, end position=6193
